"Col0"	"Col1"	"Col2"	"Col3"	"Col4"	"Col5"	"Col6"	"Col7"	"Col8"	"Col9"	"Col10"	"Col11"	"Col12"	"Col13"	"Col14"	"Col15"	"Col16"	"Col17"	"Col18"	"Col19"	"Col20"	"Col21"	"Col22"	"Col23"	"Col24"	"Col25"	"Col26"	"Col27"	"Col28"	"Col29"	"Col30"	"Col31"	"Col32"	"Col33"	Class
"s0"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.9101"	"s1.0"	"s-0.2697"	"s1.0"	"s-0.83152"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.72526"	"s-1.0"	"s-0.57779"	"s-1.0"	"s-0.42052"	"s-1.0"	"s-1.0"	"s-0.52838"	"s-1.0"	"s0.90014"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-0.34686"	"s1.0"	"s0.34845"	true
"s1"	"s0"	"s-0.67935"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.63317"	"s0.03515"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.88683"	"s-1.0"	"s-1.0"	"s1.0"	"s0.8384"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-0.18856"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.33611"	false
"s1"	"s0"	"s0.95659"	"s0.08143"	"s0.97487"	"s-0.05667"	"s0.97165"	"s-0.08484"	"s0.96097"	"s-0.06561"	"s0.94717"	"s0.01279"	"s0.95436"	"s-0.16795"	"s0.94612"	"s-0.19497"	"s0.9963"	"s-0.32268"	"s0.90343"	"s-0.35902"	"s0.91428"	"s-0.27316"	"s0.9014"	"s-0.29807"	"s0.99899"	"s-0.40747"	"s0.87244"	"s-0.34586"	"s0.92059"	"s-0.30619"	"s0.83951"	"s-0.39061"	"s0.82166"	"s-0.41173"	true
"s1"	"s0"	"s0.08333"	"s-0.20685"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.71875"	"s0.47173"	"s-0.82143"	"s-0.62723"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-0.02753"	"s0.59152"	"s-0.42113"	"s-0.42113"	"s-0.74628"	"s-1.0"	"s-1.0"	"s-0.46801"	"s-1.0"	"s0.2381"	"s1.0"	"s-1.0"	"s-1.0"	"s-0.38914"	"s-1.0"	"s-1.0"	"s-1.0"	"s0.61458"	false
"s1"	"s0"	"s1.0"	"s-0.02259"	"s1.0"	"s-0.04494"	"s1.0"	"s-0.06682"	"s1.0"	"s-0.08799"	"s1.0"	"s0.56173"	"s1.0"	"s-0.12738"	"s1.0"	"s-0.14522"	"s1.0"	"s0.32407"	"s1.0"	"s-0.17639"	"s0.99484"	"s-0.18949"	"s0.95601"	"s-0.20081"	"s1.0"	"s-0.92284"	"s0.8728"	"s-0.21793"	"s0.8292"	"s-0.2237"	"s0.78479"	"s-0.22765"	"s0.73992"	"s-0.22981"	true
"s0"	"s0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s-1.0"	"s-0.1875"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s0.05812"	"s0.94525"	"s0.07418"	"s0.99952"	"s0.13231"	"s1.0"	"s-0.01911"	"s0.94846"	"s0.07033"	"s0.95713"	"s0.14644"	"s0.94862"	"s0.11224"	"s0.90896"	"s0.20119"	"s0.96741"	"s0.16265"	"s0.99695"	"s0.14258"	"s0.90784"	"s0.1641"	"s0.91667"	"s0.22431"	"s0.88423"	"s0.23571"	"s0.88568"	"s0.22511"	"s0.78324"	"s0.29576"	"s0.83574"	"s0.31166"	true
"s1"	"s0"	"s0.17188"	"s-1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s-0.61354"	"s-0.67708"	"s0.80521"	"s0.36146"	"s0.51979"	"s0.14375"	"s0.0"	"s0.0"	"s-1.0"	"s-0.27083"	"s-0.84792"	"s0.9625"	"s1.0"	"s1.0"	"s-1.0"	"s0.67708"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s0.09771"	"s1.0"	"s0.12197"	"s1.0"	"s0.22574"	"s0.98602"	"s0.09237"	"s0.9493"	"s0.19211"	"s0.92992"	"s0.24288"	"s0.89241"	"s0.28343"	"s0.85529"	"s0.26721"	"s0.83656"	"s0.33129"	"s0.83393"	"s0.31698"	"s0.74829"	"s0.39597"	"s0.76193"	"s0.34658"	"s0.68452"	"s0.42746"	"s0.62764"	"s0.46031"	"s0.56791"	"s0.47033"	"s0.54252"	"s0.50903"	true
"s1"	"s0"	"s0.01667"	"s-0.35625"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.12292"	"s-0.55"	"s0.22813"	"s0.82813"	"s1.0"	"s-0.42292"	"s0.0"	"s0.0"	"s0.08333"	"s-1.0"	"s-0.10625"	"s-0.16667"	"s1.0"	"s-0.76667"	"s-1.0"	"s0.18854"	"s0.0"	"s0.0"	"s1.0"	"s-0.27292"	false
"s1"	"s0"	"s1.0"	"s0.16801"	"s0.99352"	"s0.16334"	"s0.94616"	"s0.33347"	"s0.91759"	"s0.2261"	"s0.91408"	"s0.37107"	"s0.8425"	"s0.46899"	"s0.81011"	"s0.49225"	"s0.78473"	"s0.48311"	"s0.65091"	"s0.56977"	"s0.56553"	"s0.58071"	"s0.55586"	"s0.6472"	"s0.48311"	"s0.55236"	"s0.43317"	"s0.69129"	"s0.35684"	"s0.76147"	"s0.33921"	"s0.66844"	"s0.22101"	"s0.78685"	true
"s1"	"s0"	"s0.63816"	"s1.0"	"s0.20833"	"s-1.0"	"s1.0"	"s1.0"	"s0.87719"	"s0.30921"	"s-0.66886"	"s1.0"	"s-0.05921"	"s0.58772"	"s0.01754"	"s0.05044"	"s-0.51535"	"s-1.0"	"s0.14254"	"s-0.03289"	"s0.32675"	"s-0.4386"	"s-1.0"	"s1.0"	"s0.80921"	"s-1.0"	"s1.0"	"s-0.0614"	"s1.0"	"s1.0"	"s0.20614"	"s-1.0"	"s1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s-0.41457"	"s1.0"	"s0.76131"	"s0.8706"	"s0.18593"	"s1.0"	"s-0.09925"	"s0.93844"	"s0.4799"	"s0.65452"	"s-0.1608"	"s1.0"	"s0.00879"	"s0.97613"	"s-0.50126"	"s0.80025"	"s-0.24497"	"s0.88065"	"s-0.19095"	"s1.0"	"s-0.12312"	"s0.93593"	"s0.10678"	"s0.9289"	"s-0.07249"	"s1.0"	"s-0.27387"	"s0.4397"	"s0.19849"	"s0.51382"	"s-0.05402"	true
"s1"	"s0"	"s0.84783"	"s0.10598"	"s1.0"	"s0.3913"	"s1.0"	"s-1.0"	"s0.66938"	"s0.08424"	"s1.0"	"s0.27038"	"s1.0"	"s0.60598"	"s1.0"	"s0.35507"	"s1.0"	"s0.02672"	"s0.58424"	"s-0.43025"	"s1.0"	"s0.63496"	"s0.8913"	"s0.26585"	"s0.91033"	"s-0.33333"	"s1.0"	"s0.15942"	"s0.37681"	"s-0.01947"	"s1.0"	"s0.22464"	"s1.0"	"s0.37409"	false
"s1"	"s0"	"s1.0"	"s0.28046"	"s1.0"	"s0.02477"	"s1.0"	"s0.07764"	"s1.0"	"s0.04317"	"s0.98762"	"s0.33266"	"s1.0"	"s0.05489"	"s1.0"	"s0.04384"	"s0.9575"	"s-0.24598"	"s0.84371"	"s-0.08668"	"s1.0"	"s0.0415"	"s0.99933"	"s0.27376"	"s1.0"	"s-0.39056"	"s0.96414"	"s-0.02174"	"s0.86747"	"s0.2336"	"s0.94578"	"s-0.22021"	"s0.80355"	"s-0.07329"	true
"s0"	"s0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.65625"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s0.67784"	"s0.81309"	"s0.82021"	"s0.43019"	"s1.0"	"s0.20619"	"s0.80541"	"s-0.43872"	"s1.0"	"s-0.79135"	"s0.77092"	"s-1.0"	"s0.40268"	"s-0.39046"	"s-0.58634"	"s-0.97907"	"s-0.42822"	"s-0.73083"	"s-0.76339"	"s-0.37671"	"s-0.97491"	"s0.41366"	"s-1.0"	"s0.41778"	"s-0.93296"	"s0.25773"	"s-1.0"	"s0.9357"	"s-0.35222"	"s0.98816"	"s0.03446"	true
"s1"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.5"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s0.03529"	"s1.0"	"s0.18281"	"s1.0"	"s0.26968"	"s1.0"	"s0.25068"	"s1.0"	"s0.28778"	"s1.0"	"s0.38643"	"s1.0"	"s0.31674"	"s1.0"	"s0.65701"	"s1.0"	"s0.53846"	"s1.0"	"s0.61267"	"s1.0"	"s0.59457"	"s0.89593"	"s0.68326"	"s0.89502"	"s0.71374"	"s0.85611"	"s0.67149"	"s0.74389"	"s0.85611"	"s0.71493"	"s0.75837"	true
"s0"	"s0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-0.75"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s0.96087"	"s0.0862"	"s0.9676"	"s0.19279"	"s0.96026"	"s0.27451"	"s0.98044"	"s0.35052"	"s0.92867"	"s0.46281"	"s0.86265"	"s0.52517"	"s0.8282"	"s0.58794"	"s0.73242"	"s0.69065"	"s0.69003"	"s0.7314"	"s0.54473"	"s0.6882"	"s0.48339"	"s0.76197"	"s0.40615"	"s0.74689"	"s0.33401"	"s0.83796"	"s0.24944"	"s0.86061"	"s0.13756"	"s0.86835"	"s0.09048"	"s0.86285"	true
"s1"	"s0"	"s0.69444"	"s0.38889"	"s0.0"	"s0.0"	"s-0.32937"	"s0.69841"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.20635"	"s-0.24206"	"s0.21032"	"s0.19444"	"s0.46429"	"s0.78175"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.73413"	"s0.27381"	"s0.7619"	"s0.63492"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s0.0507"	"s1.0"	"s0.10827"	"s1.0"	"s0.19498"	"s1.0"	"s0.28453"	"s1.0"	"s0.34826"	"s1.0"	"s0.38261"	"s0.94575"	"s0.42881"	"s0.89126"	"s0.50391"	"s0.75906"	"s0.58801"	"s0.80644"	"s0.59962"	"s0.79578"	"s0.62758"	"s0.66643"	"s0.63942"	"s0.59417"	"s0.69435"	"s0.49538"	"s0.72684"	"s0.47027"	"s0.71689"	"s0.33381"	"s0.75243"	true
"s0"	"s0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s0.04078"	"s1.0"	"s0.11982"	"s1.0"	"s0.16159"	"s1.0"	"s0.27921"	"s0.98703"	"s0.30889"	"s0.92745"	"s0.37639"	"s0.91118"	"s0.39749"	"s0.81939"	"s0.46059"	"s0.78619"	"s0.46994"	"s0.794"	"s0.56282"	"s0.70331"	"s0.58129"	"s0.67077"	"s0.59723"	"s0.58903"	"s0.6099"	"s0.53952"	"s0.60932"	"s0.45312"	"s0.63636"	"s0.40442"	"s0.62658"	true
"s0"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s0.24168"	"s1.0"	"s0.4859"	"s1.0"	"s0.72973"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.77128"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.74468"	"s1.0"	"s0.89647"	"s1.0"	"s0.64628"	"s1.0"	"s0.38255"	"s1.0"	"s0.10819"	"s1.0"	"s-0.1737"	"s1.0"	"s-0.81383"	"s1.0"	true
"s0"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s-0.06604"	"s1.0"	"s0.62937"	"s1.0"	"s0.09557"	"s1.0"	"s0.2028"	"s1.0"	"s-1.0"	"s1.0"	"s-0.40559"	"s1.0"	"s-0.15851"	"s1.0"	"s0.04895"	"s1.0"	"s-0.61538"	"s1.0"	"s-0.26573"	"s1.0"	"s-1.0"	"s1.0"	"s-0.58042"	"s1.0"	"s-0.81372"	"s1.0"	"s-1.0"	"s1.0"	"s-0.78555"	"s1.0"	"s-0.48252"	true
"s0"	"s0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s0.92277"	"s0.07804"	"s0.92679"	"s0.16251"	"s0.89702"	"s0.24618"	"s0.84111"	"s0.35197"	"s0.78801"	"s0.42196"	"s0.70716"	"s0.46983"	"s0.70796"	"s0.56476"	"s0.60459"	"s0.642"	"s0.51247"	"s0.64924"	"s0.39903"	"s0.66975"	"s0.34232"	"s0.68343"	"s0.23693"	"s0.76146"	"s0.18765"	"s0.73885"	"s0.09694"	"s0.71038"	"s0.02735"	"s0.77072"	"s-0.04023"	"s0.69509"	true
"s1"	"s0"	"s0.68198"	"s-0.17314"	"s0.82332"	"s0.21908"	"s0.46643"	"s0.32862"	"s0.25795"	"s0.58304"	"s1.0"	"s-0.15194"	"s0.0106"	"s0.44523"	"s0.0106"	"s0.38869"	"s0.18681"	"s0.41168"	"s0.10567"	"s0.36353"	"s0.04325"	"s0.30745"	"s-8.3E-4"	"s0.24936"	"s-0.02862"	"s0.19405"	"s-0.04314"	"s0.14481"	"s-0.04779"	"s0.10349"	"s-0.04585"	"s0.07064"	"s-0.04013"	"s0.04586"	false
"s1"	"s0"	"s0.74852"	"s-0.02811"	"s0.6568"	"s-0.05178"	"s0.80621"	"s0.02811"	"s0.85947"	"s0.02515"	"s0.63462"	"s0.08728"	"s0.71598"	"s0.0784"	"s0.73077"	"s0.05178"	"s0.7855"	"s-0.27811"	"s0.65976"	"s-0.01479"	"s0.78698"	"s0.06953"	"s0.34615"	"s-0.18639"	"s0.65385"	"s0.02811"	"s0.61009"	"s-0.06637"	"s0.5355"	"s-0.21154"	"s0.59024"	"s-0.14053"	"s0.56361"	"s0.02959"	true
"s1"	"s0"	"s0.39179"	"s-0.06343"	"s0.97464"	"s0.04328"	"s1.0"	"s1.0"	"s0.35821"	"s0.15299"	"s0.54478"	"s0.1306"	"s0.61567"	"s-0.8209"	"s0.57836"	"s0.6791"	"s0.66791"	"s-0.10448"	"s0.46642"	"s-0.11567"	"s0.65574"	"s0.14792"	"s0.83209"	"s0.45522"	"s0.47015"	"s0.16418"	"s0.49309"	"s0.1463"	"s0.32463"	"s-0.02612"	"s0.39118"	"s0.13521"	"s0.34411"	"s0.12755"	false
"s1"	"s0"	"s0.67547"	"s0.04528"	"s0.76981"	"s-0.10566"	"s0.77358"	"s0.03774"	"s0.66038"	"s-0.04528"	"s0.64528"	"s0.01132"	"s0.66792"	"s-0.13962"	"s0.72075"	"s-0.02264"	"s0.76981"	"s0.08679"	"s0.61887"	"s-0.07925"	"s0.75849"	"s-0.23774"	"s0.73962"	"s-0.14717"	"s0.84906"	"s-0.15094"	"s0.73886"	"s-0.05801"	"s0.66792"	"s0.02264"	"s0.86415"	"s0.03774"	"s0.73208"	"s0.00755"	true
"s1"	"s0"	"s0.72727"	"s-0.05"	"s0.89241"	"s0.03462"	"s1.0"	"s0.72727"	"s0.66364"	"s-0.05909"	"s0.48182"	"s-0.16818"	"s0.81809"	"s0.09559"	"s0.56818"	"s1.0"	"s0.50455"	"s0.21818"	"s0.66818"	"s0.1"	"s1.0"	"s-0.3"	"s0.98636"	"s-1.0"	"s0.57273"	"s0.32727"	"s0.56982"	"s0.14673"	"s0.42273"	"s0.08182"	"s0.48927"	"s0.14643"	"s1.0"	"s1.0"	false
"s1"	"s0"	"s0.57647"	"s-0.01569"	"s0.40392"	"s0.0"	"s0.38431"	"s0.12941"	"s0.4"	"s-0.05882"	"s0.56471"	"s0.14118"	"s0.46667"	"s0.08235"	"s0.52549"	"s-0.0549"	"s0.58039"	"s0.01569"	"s0.50196"	"s0.0"	"s0.45882"	"s0.06667"	"s0.58039"	"s0.08235"	"s0.49804"	"s0.00392"	"s0.48601"	"s0.10039"	"s0.46275"	"s0.08235"	"s0.45098"	"s0.23529"	"s0.43137"	"s0.17255"	true
"s1"	"s0"	"s0.41932"	"s0.12482"	"s0.35"	"s0.125"	"s0.23182"	"s0.27955"	"s-0.03636"	"s0.44318"	"s0.04517"	"s0.36194"	"s-0.19091"	"s0.33636"	"s-0.1335"	"s0.27322"	"s0.02727"	"s0.40455"	"s-0.34773"	"s0.12727"	"s-0.20028"	"s0.05078"	"s-0.18636"	"s0.36364"	"s-0.14003"	"s-0.04802"	"s-0.09971"	"s-0.07114"	"s-1.0"	"s-1.0"	"s-0.02916"	"s-0.07464"	"s-0.00526"	"s-0.06314"	false
"s1"	"s0"	"s0.88305"	"s-0.21996"	"s1.0"	"s0.36373"	"s0.82403"	"s0.19206"	"s0.85086"	"s0.05901"	"s0.90558"	"s-0.04292"	"s0.85193"	"s0.25"	"s0.77897"	"s0.25322"	"s0.69206"	"s0.5794"	"s0.7103"	"s0.39056"	"s0.73176"	"s0.27575"	"s1.0"	"s0.34871"	"s0.5676"	"s0.52039"	"s0.69811"	"s0.53235"	"s0.80901"	"s0.58584"	"s0.43026"	"s0.70923"	"s0.52361"	"s0.54185"	true
"s1"	"s0"	"s0.84557"	"s-0.0858"	"s-0.31745"	"s-0.80553"	"s-0.08961"	"s-0.56435"	"s0.80648"	"s0.04576"	"s0.89514"	"s-0.00763"	"s-0.18494"	"s0.63966"	"s-0.20019"	"s-0.68065"	"s0.85701"	"s-0.11344"	"s0.77979"	"s-0.15729"	"s-0.06959"	"s0.5081"	"s-0.34128"	"s0.80934"	"s0.78932"	"s-0.03718"	"s0.70882"	"s-0.25288"	"s0.77884"	"s-0.14109"	"s-0.21354"	"s-0.7817"	"s-0.18494"	"s-0.59867"	false
"s1"	"s0"	"s0.7087"	"s-0.24783"	"s0.64348"	"s0.04348"	"s0.45217"	"s0.38261"	"s0.65217"	"s0.18261"	"s0.5"	"s0.26957"	"s0.57826"	"s-0.23043"	"s0.50435"	"s0.37826"	"s0.38696"	"s-0.42609"	"s0.36087"	"s-0.26087"	"s0.26957"	"s0.11739"	"s0.53246"	"s-0.03845"	"s0.31304"	"s-0.12174"	"s0.4993"	"s-0.04264"	"s0.48348"	"s-0.04448"	"s0.64348"	"s-0.25217"	"s0.50435"	"s0.14783"	true
"s1"	"s0"	"s-0.5418"	"s0.14861"	"s-0.33746"	"s0.73375"	"s0.52012"	"s-0.13932"	"s0.31889"	"s-0.06811"	"s0.20743"	"s-0.1517"	"s0.47368"	"s0.08978"	"s0.56347"	"s-0.1548"	"s0.16409"	"s0.45201"	"s0.33746"	"s0.03406"	"s0.50464"	"s0.07121"	"s-0.63777"	"s-0.6161"	"s1.0"	"s0.65635"	"s0.41348"	"s-0.40116"	"s-0.1517"	"s0.11146"	"s0.02399"	"s0.5582"	"s0.52632"	"s-0.08978"	false
"s1"	"s0"	"s0.29202"	"s0.13582"	"s0.45331"	"s0.16808"	"s0.51783"	"s-0.00509"	"s0.52632"	"s0.20883"	"s0.52462"	"s-0.16638"	"s0.47368"	"s-0.04754"	"s0.55518"	"s0.03905"	"s0.81664"	"s-0.22411"	"s0.42445"	"s-0.04244"	"s0.34975"	"s0.06621"	"s0.28183"	"s-0.20883"	"s0.51731"	"s-0.03176"	"s0.50369"	"s-0.03351"	"s0.34635"	"s0.09847"	"s0.70798"	"s-0.01868"	"s0.39559"	"s-0.03226"	true
"s1"	"s0"	"s0.79157"	"s0.16851"	"s0.0"	"s0.0"	"s0.56541"	"s0.06874"	"s0.39468"	"s1.0"	"s0.38359"	"s0.99557"	"s-0.02439"	"s0.53215"	"s0.23725"	"s0.1286"	"s-0.02661"	"s0.95122"	"s-0.50998"	"s0.84922"	"s-0.102"	"s0.38803"	"s-0.42572"	"s0.23725"	"s-0.91574"	"s0.8071"	"s-0.34146"	"s0.88248"	"s-1.0"	"s0.69401"	"s-1.0"	"s0.1286"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.90116"	"s0.16607"	"s0.79299"	"s0.37379"	"s0.7299"	"s0.50515"	"s0.59784"	"s0.72997"	"s0.44303"	"s0.81152"	"s0.24412"	"s0.87493"	"s0.06438"	"s0.85038"	"s-0.12611"	"s0.87396"	"s-0.28739"	"s0.79617"	"s-0.46635"	"s0.65924"	"s-0.57135"	"s0.53805"	"s-0.68159"	"s0.39951"	"s-0.71844"	"s0.25835"	"s-0.72369"	"s0.11218"	"s-0.71475"	"s-0.05525"	"s-0.67699"	"s-0.19904"	true
"s1"	"s0"	"s0.97714"	"s0.19049"	"s0.82683"	"s0.46259"	"s0.71771"	"s0.58732"	"s0.47968"	"s0.84278"	"s0.31409"	"s0.92643"	"s0.10289"	"s0.93945"	"s-0.13254"	"s0.8429"	"s-0.3202"	"s0.91624"	"s-0.52145"	"s0.79525"	"s-0.68274"	"s0.49508"	"s-0.77408"	"s0.33537"	"s-0.85376"	"s0.17849"	"s-0.83314"	"s-0.01358"	"s-0.82366"	"s-0.19321"	"s-0.67289"	"s-0.33662"	"s-0.59943"	"s-0.497"	true
"s1"	"s0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.50814"	"s-0.78502"	"s0.60586"	"s0.32899"	"s-1.0"	"s-0.41368"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-0.2671"	"s0.36482"	"s-0.63518"	"s0.97068"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-0.59609"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.74084"	"s0.04974"	"s0.79074"	"s0.02543"	"s0.78575"	"s0.03793"	"s0.6623"	"s0.09948"	"s0.67801"	"s0.31152"	"s0.75934"	"s0.07348"	"s0.74695"	"s0.08442"	"s0.70681"	"s-0.07853"	"s0.63613"	"s0.0"	"s0.70021"	"s0.11355"	"s0.68183"	"s0.12185"	"s0.67016"	"s0.15445"	"s0.64158"	"s0.13608"	"s0.65707"	"s0.17539"	"s0.59759"	"s0.14697"	"s0.57455"	"s0.15114"	true
"s1"	"s0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.77941"	"s-0.99265"	"s0.80882"	"s0.55147"	"s-0.41912"	"s-0.94853"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.72059"	"s-0.77206"	"s0.73529"	"s-0.60294"	"s0.0"	"s0.0"	"s0.18382"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s0.01709"	"s0.96215"	"s-0.03142"	"s1.0"	"s-0.03436"	"s1.0"	"s-0.05071"	"s0.99026"	"s-0.07092"	"s0.99173"	"s-0.09002"	"s1.0"	"s-0.15727"	"s1.0"	"s-0.14257"	"s0.9831"	"s-0.11813"	"s1.0"	"s-0.18519"	"s1.0"	"s-0.19272"	"s0.98971"	"s-0.22083"	"s0.9649"	"s-0.20243"	"s0.94599"	"s-0.17123"	"s0.96436"	"s-0.22561"	"s0.87011"	"s-0.23296"	true
"s0"	"s0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	false
