%
% ARFF data file, generated by KNIME
%
% Date: Thu Jun 22 13:05:14 CEST 2017
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE cap-shape	{x,b,s,f,k,c}
@ATTRIBUTE cap-surface	{s,y,f,g}
@ATTRIBUTE cap-color	{n,y,w,g,e,p,b,u,c,r}
@ATTRIBUTE bruises?	{t,f}
@ATTRIBUTE odor	{p,a,l,n,f,c,y,s}
@ATTRIBUTE gill-attachment	{f}
@ATTRIBUTE gill-spacing	{c,w}
@ATTRIBUTE gill-size	{n,b}
@ATTRIBUTE gill-color	{k,n,g,p,w,h,u,e,b,r}
@ATTRIBUTE stalk-shape	{e,t}
@ATTRIBUTE stalk-root	{e,c,b,r}
@ATTRIBUTE stalk-surface-above-ring	{s,f,k}
@ATTRIBUTE stalk-surface-below-ring	{s,f,y,k}
@ATTRIBUTE Col13	{w,g,p,n,b,e}
@ATTRIBUTE stalk-color-above-ring	{w,p,g,b,n,e,y}
@ATTRIBUTE veil-type	{p}
@ATTRIBUTE veil-color	{w}
@ATTRIBUTE ring-number	{o,t}
@ATTRIBUTE ring-type	{p,e,l,f}
@ATTRIBUTE spore-print-color	{k,n,u,h,w,r}
@ATTRIBUTE population	{s,n,a,v,y,c}
@ATTRIBUTE habitat	{u,g,m,d,p,w,l}
@ATTRIBUTE Class	{cortana,false}

@DATA
x,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,false
b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,false
x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,false
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,false
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,false
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,false
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,false
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,cortana
f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,false
x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,false
x,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,false
f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,false
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,false
f,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,false
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,false
x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,false
x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,false
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,false
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,false
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,false
x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,cortana
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,false
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,false
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,false
f,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,false
f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,cortana
x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,false
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,false
x,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,false
x,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,cortana
x,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,false
b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,false
x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,false
x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,false
x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,cortana
f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,false
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,false
f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,false
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,false
x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,false
x,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,false
x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,false
x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,false
f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,false
f,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,false
f,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,false
f,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,false
f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,false
f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,false
f,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
x,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,false
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,false
f,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,false
b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,false
x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,false
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,false
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,false
f,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,false
x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
f,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,false
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,false
x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,false
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,false
f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,false
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,cortana
f,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,false
f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,false
f,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,false
x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,false
x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,false
x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,false
f,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,false
x,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,false
f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,false
f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,false
f,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,cortana
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,false
f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,false
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,false
x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,false
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,false
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
f,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,false
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,cortana
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,false
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,cortana
f,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,false
x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,false
x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,false
x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,false
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,false
f,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,false
x,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,false
x,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,false
f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,false
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,cortana
f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,false
x,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,false
f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,false
f,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,false
f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,false
x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,false
f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,false
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,false
x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,false
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,false
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
x,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,false
f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,false
f,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,false
f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,false
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,false
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p,false
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,cortana
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,false
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,cortana
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
x,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d,false
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,false
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,false
x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,false
x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,false
f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,false
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,cortana
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,false
f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,false
f,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,false
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,false
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,cortana
x,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,cortana
x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,false
f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,false
x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,false
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,false
x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,false
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,cortana
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,false
x,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,false
f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,false
x,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,false
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,false
x,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,false
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,false
x,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,false
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,false
x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,false
x,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,false
f,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,false
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,cortana
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,false
x,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,false
f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,false
f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,false
x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,cortana
x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,false
f,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,false
x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,false
x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,false
