Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Att23	Att24	Att25	Att26	Att27	Att28	Att29	Att30	Att31	Att32	Att33	Att34	Att35	Att36	Att37	Att38	Att39	Att40	Att41	Att42	Att43	Att44	Att45	Att46	Att47	Att48	Att49	Att50	Att51	Att52	Att53	Att54	Att55	Att56	Att57	Att58	Att59	Att60	Att61	Att62	Att63	Att64	Att65	Att66	Att67	Att68	Att69	Att70	Att71	Att72	Att73	Att74	Att75	Att76	Att77	Att78	Att79	Att80	Att81	Att82	Att83	Att84	Att85	Att86	Att87	Att88	Att89	Att90	Att91	Att92	Att93	Att94	Att95	Att96	Att97	Att98	Att99	Att100	Att101	Att102	Att103	Class
"s0.001995"	"s0.004131"	"s0.022961"	"s-0.005386"	"s-0.015878"	"s-0.048344"	"s-0.036385"	"s0.003054"	"s-0.03175"	"s-0.069903"	"s-0.0426"	"s-0.013509"	"s-0.020296"	"s0.043842"	"s-0.018497"	"s-0.015113"	"s-0.012981"	"s-0.001197"	"s-0.077964"	"s0.038414"	"s-0.051805"	"s-0.033955"	"s-0.081397"	"s-0.075133"	"s-0.003714"	"s-0.001258"	"s0.045275"	"s-0.014016"	"s-0.01632"	"s0.024635"	"s0.077193"	"s0.010166"	"s-0.035348"	"s-0.027677"	"s-0.039308"	"s-0.122476"	"s-0.042616"	"s-0.065107"	"s-0.072208"	"s-0.091121"	"s-0.58582"	"s-0.051139"	"s-0.10734"	"s-0.025717"	"s-0.061376"	"s-0.04922"	"s-0.038799"	"s-0.008138"	"s0.047886"	"s0.124837"	"s0.134482"	"s0.183113"	"s0.215109"	"s-0.138007"	"s0.054183"	"s0.086132"	"s0.097148"	"s0.107358"	"s0.072815"	"s0.032015"	"s0.007263"	"s0.020799"	"s-0.049753"	"s0.045688"	"s-0.07606"	"s-0.00621"	"s0.007717"	"s-0.089905"	"s-0.003163"	"s0.034519"	"s0.051993"	"s0.024495"	"s-0.089593"	"s-0.059554"	"s-0.020758"	"s-0.03238"	"s-0.005781"	"s0.031913"	"s0.059531"	"s-0.010036"	"s-0.030605"	"s-0.084084"	"s-0.059136"	"s0.202195"	"s-0.024206"	"s-0.026645"	"s-0.062251"	"s0.262424"	"s-0.047193"	"s0.253941"	"s0.238765"	"s-0.054773"	"s-0.02889"	"s-0.066178"	"s-0.007572"	"s0.183657"	"s-0.063306"	"s-0.061421"	"s-0.027125"	"s-0.075395"	"s-0.064365"	"s-0.035849"	"s-0.149325"	true
"s-0.004264"	"s-0.024605"	"s0.032896"	"s0.01225"	"s-0.042794"	"s-0.050504"	"s-0.050472"	"s0.01749"	"s-0.058341"	"s0.069204"	"s4.8E-5"	"s-0.034197"	"s-0.014359"	"s0.010271"	"s0.009984"	"s-0.040215"	"s-0.083336"	"s0.017406"	"s-0.029458"	"s-0.052767"	"s-0.029829"	"s-0.028396"	"s0.002704"	"s-0.046021"	"s-0.042285"	"s-0.105019"	"s-0.074985"	"s-0.070745"	"s-0.087833"	"s-0.13202"	"s-0.098098"	"s-0.075382"	"s-0.035599"	"s-0.018761"	"s-0.055763"	"s-0.071488"	"s-0.106826"	"s-0.077191"	"s-0.080467"	"s0.024856"	"s-0.041758"	"s-0.064329"	"s-0.053486"	"s-0.020271"	"s-0.089007"	"s-0.024753"	"s-0.06075"	"s-0.059696"	"s-0.030734"	"s0.212854"	"s0.236015"	"s0.262848"	"s0.302797"	"s-0.342942"	"s0.219222"	"s0.154164"	"s-3.0E-5"	"s0.123492"	"s-0.021405"	"s-0.006834"	"s0.044779"	"s0.004402"	"s-0.035777"	"s-0.001108"	"s-0.040525"	"s0.03304"	"s-0.05305"	"s0.008494"	"s0.008281"	"s-0.003266"	"s-0.010652"	"s-0.00108"	"s-0.105597"	"s-0.057225"	"s-0.119928"	"s-0.008065"	"s-0.052385"	"s-0.039627"	"s0.023624"	"s-0.050001"	"s-0.041195"	"s-0.076957"	"s-0.075822"	"s0.317953"	"s-0.065105"	"s-0.06657"	"s-0.038974"	"s0.259099"	"s-0.037426"	"s-0.039189"	"s-0.048472"	"s-0.074803"	"s-0.065184"	"s-0.054997"	"s-0.03742"	"s0.090083"	"s-0.056331"	"s-0.053021"	"s-0.03167"	"s0.309163"	"s-0.002919"	"s-0.037965"	"s-0.069991"	true
"s0.087267"	"s0.002407"	"s0.027563"	"s0.0377"	"s0.045559"	"s0.030193"	"s0.056776"	"s0.011505"	"s0.054167"	"s0.125707"	"s0.017587"	"s0.14425"	"s0.089038"	"s0.119174"	"s0.080421"	"s0.094736"	"s0.038936"	"s0.108765"	"s-0.09677"	"s-0.020689"	"s0.065926"	"s0.063452"	"s0.098482"	"s0.165197"	"s0.114718"	"s0.113885"	"s0.051017"	"s0.118545"	"s0.079269"	"s0.072756"	"s0.04405"	"s0.075983"	"s0.11208"	"s0.021515"	"s0.013072"	"s0.021541"	"s-0.067011"	"s0.231612"	"s-0.01638"	"s0.026291"	"s0.069605"	"s-0.09409"	"s0.016061"	"s0.10156"	"s-0.108672"	"s-0.026886"	"s-0.06321"	"s0.036083"	"s-0.098613"	"s-0.114918"	"s-0.151129"	"s-0.136703"	"s-0.112041"	"s0.099364"	"s-0.083001"	"s0.010373"	"s-0.110314"	"s-0.119092"	"s0.009256"	"s-0.018815"	"s-0.01047"	"s-0.096172"	"s0.0407"	"s-0.042402"	"s0.068242"	"s-0.026494"	"s0.01142"	"s-0.010198"	"s0.176766"	"s-0.079027"	"s-0.069768"	"s-0.038302"	"s0.178652"	"s0.155196"	"s0.040873"	"s0.046333"	"s0.00535"	"s-0.109309"	"s-0.105742"	"s-0.23013"	"s-0.218349"	"s0.086947"	"s0.064539"	"s0.03144"	"s0.131961"	"s0.128358"	"s0.091683"	"s0.015285"	"s0.057599"	"s0.090358"	"s0.078117"	"s0.08823"	"s-0.224741"	"s0.11323"	"s-0.002894"	"s0.039788"	"s-0.21835"	"s-0.222457"	"s0.083127"	"s0.080025"	"s0.143381"	"s0.116842"	"s-0.065257"	false
"s-0.096645"	"s-0.059469"	"s0.136874"	"s0.151367"	"s0.096397"	"s-0.06576"	"s-0.132268"	"s0.128809"	"s-0.24674"	"s-0.069695"	"s0.058218"	"s0.1708"	"s0.068245"	"s0.078567"	"s-0.045821"	"s-0.108958"	"s-0.045794"	"s-0.099473"	"s-0.099614"	"s-0.015741"	"s-0.124419"	"s-0.066288"	"s-0.00183"	"s0.060159"	"s0.074304"	"s0.020573"	"s0.013584"	"s-0.002608"	"s-0.110223"	"s-0.00993"	"s-0.027056"	"s-0.079324"	"s-0.081652"	"s0.041253"	"s0.136613"	"s-0.114049"	"s-0.242455"	"s-0.308683"	"s5.68E-4"	"s0.011968"	"s0.025685"	"s-0.115682"	"s-0.219718"	"s-0.124147"	"s0.027387"	"s-0.001635"	"s0.008249"	"s0.019937"	"s0.282616"	"s0.23065"	"s0.176871"	"s0.082973"	"s0.105149"	"s0.054753"	"s-0.04667"	"s-0.144017"	"s0.240852"	"s0.196802"	"s-0.085355"	"s0.017072"	"s0.006666"	"s-0.001726"	"s-0.020857"	"s-0.065652"	"s-0.022857"	"s0.033501"	"s0.050429"	"s0.037049"	"s-0.011889"	"s-0.053886"	"s-0.089359"	"s-0.030766"	"s-0.055677"	"s-0.103117"	"s-0.127602"	"s-0.008712"	"s0.02003"	"s-0.068694"	"s-0.091272"	"s-0.003989"	"s-0.030477"	"s-0.043246"	"s-0.026699"	"s-0.066781"	"s-0.010642"	"s-0.008277"	"s-0.019185"	"s-0.040995"	"s-0.034024"	"s-0.047556"	"s-0.05099"	"s-0.007933"	"s-0.041242"	"s-0.01218"	"s0.073647"	"s-0.024561"	"s0.049596"	"s0.075388"	"s-0.019509"	"s-0.042277"	"s-0.014171"	"s0.017443"	"s0.130424"	false
"s-0.057578"	"s0.136221"	"s0.076486"	"s0.126039"	"s-0.026359"	"s-0.104016"	"s-0.108642"	"s0.198183"	"s0.025219"	"s-0.022097"	"s0.02988"	"s-0.049485"	"s-0.07092"	"s-0.041607"	"s0.018728"	"s0.197031"	"s-0.063276"	"s0.048785"	"s-0.007583"	"s0.006815"	"s0.148204"	"s0.14143"	"s-0.081756"	"s-0.075956"	"s-0.032535"	"s0.064675"	"s0.093493"	"s0.149596"	"s-0.043972"	"s0.078447"	"s-0.003997"	"s0.024183"	"s-0.161847"	"s-0.130901"	"s-0.195699"	"s-0.005461"	"s-0.023187"	"s-0.02982"	"s-0.051238"	"s-0.11509"	"s-0.026719"	"s-0.014639"	"s-0.031384"	"s-0.021348"	"s-0.03436"	"s-0.013043"	"s-0.07644"	"s0.079049"	"s-0.08048"	"s-0.077924"	"s-0.097495"	"s-0.088063"	"s-0.06354"	"s0.139016"	"s-0.036033"	"s0.003199"	"s-0.058714"	"s-0.048964"	"s0.013878"	"s0.065968"	"s-0.001575"	"s0.140635"	"s-0.066311"	"s0.108145"	"s-0.180178"	"s-0.004049"	"s-0.041698"	"s-0.026753"	"s0.118488"	"s0.057493"	"s0.277229"	"s0.169124"	"s0.029926"	"s0.121579"	"s-0.076347"	"s0.054368"	"s-0.004346"	"s-0.018497"	"s0.074824"	"s-0.082945"	"s-0.099555"	"s0.172509"	"s0.203923"	"s-0.124481"	"s-0.030563"	"s0.053895"	"s-0.096521"	"s-0.096633"	"s-0.106338"	"s0.034807"	"s-0.018743"	"s0.128053"	"s-0.090569"	"s0.164058"	"s0.265457"	"s-0.091653"	"s-0.096061"	"s-0.095523"	"s0.008784"	"s0.151688"	"s0.113128"	"s-0.085938"	"s-0.052668"	false
"s0.004812"	"s-0.055822"	"s-0.036394"	"s-0.016988"	"s-0.037237"	"s0.009069"	"s-0.011351"	"s0.10612"	"s0.128527"	"s-0.020242"	"s0.129477"	"s0.043705"	"s-0.003569"	"s0.062687"	"s0.106513"	"s0.198997"	"s-0.093505"	"s-0.008291"	"s0.031519"	"s0.027336"	"s0.021262"	"s-0.0265"	"s-0.111589"	"s-0.033178"	"s0.033377"	"s-0.062715"	"s-0.032207"	"s-0.010464"	"s0.020198"	"s-0.014222"	"s0.040901"	"s-0.056312"	"s-0.011673"	"s-0.024735"	"s0.001394"	"s-8.17E-4"	"s-0.096112"	"s-0.090934"	"s-0.221847"	"s0.265758"	"s-0.083195"	"s-0.105177"	"s-0.140809"	"s-0.118113"	"s-0.357626"	"s0.027375"	"s-0.124246"	"s-0.074491"	"s-0.133522"	"s0.062857"	"s0.181784"	"s0.22284"	"s0.223348"	"s-0.223237"	"s0.198707"	"s0.093989"	"s-0.029235"	"s-0.00243"	"s0.010828"	"s0.081812"	"s0.033502"	"s0.150324"	"s0.113643"	"s0.077169"	"s-0.117012"	"s-0.031582"	"s0.03838"	"s0.00404"	"s-0.026066"	"s-0.079879"	"s-0.037352"	"s0.032746"	"s-0.188193"	"s-0.069943"	"s-0.082854"	"s0.024319"	"s-0.073565"	"s-0.109678"	"s0.017868"	"s-0.010855"	"s-0.038643"	"s0.051563"	"s-0.068485"	"s0.147516"	"s-0.058635"	"s-0.066249"	"s-0.048857"	"s-0.001863"	"s-0.073264"	"s-0.078376"	"s-0.079157"	"s0.109416"	"s-0.023356"	"s0.126572"	"s0.079247"	"s0.015233"	"s-0.056476"	"s-0.075097"	"s-0.065214"	"s0.045967"	"s-0.058008"	"s-0.02743"	"s0.091693"	false
"s-0.036116"	"s-0.09104"	"s-0.10526"	"s0.022063"	"s0.092307"	"s-0.123632"	"s0.054579"	"s0.152698"	"s0.071706"	"s0.19544"	"s0.01937"	"s0.420541"	"s-0.110238"	"s0.053533"	"s0.066189"	"s0.03099"	"s0.017576"	"s-0.186216"	"s-4.77E-4"	"s-0.150237"	"s-0.20149"	"s0.016258"	"s-0.020013"	"s-0.054215"	"s-0.05043"	"s-0.143197"	"s0.052514"	"s0.05029"	"s-0.084553"	"s0.015198"	"s0.138843"	"s-0.101359"	"s0.132763"	"s0.104867"	"s0.136215"	"s0.126466"	"s0.11087"	"s0.066156"	"s-0.003335"	"s-0.099884"	"s0.069845"	"s0.030141"	"s0.010844"	"s-0.216219"	"s-0.045885"	"s-0.040773"	"s-0.029028"	"s0.028416"	"s0.011335"	"s0.131394"	"s0.097284"	"s0.11465"	"s0.159209"	"s-0.060646"	"s0.061744"	"s0.069161"	"s0.005851"	"s0.087118"	"s-0.236699"	"s0.007742"	"s-0.09308"	"s-0.013175"	"s-9.3E-5"	"s-0.066201"	"s-0.006158"	"s-0.066248"	"s-0.01788"	"s0.115165"	"s-0.081533"	"s-0.061127"	"s-0.165869"	"s-0.126246"	"s0.072122"	"s-0.014493"	"s-0.036966"	"s-0.115258"	"s-0.041663"	"s-0.134864"	"s-0.093988"	"s-0.063159"	"s-0.023247"	"s0.080268"	"s0.096532"	"s-0.038872"	"s-0.025921"	"s-0.031988"	"s-0.126108"	"s-0.035267"	"s0.037087"	"s0.119513"	"s0.04349"	"s0.011791"	"s0.034127"	"s0.066919"	"s-0.067932"	"s-0.068095"	"s-0.025961"	"s0.030558"	"s-0.053894"	"s-0.081323"	"s0.021554"	"s-0.086875"	"s0.072814"	false
"s-0.045411"	"s0.059551"	"s-0.203437"	"s-0.031219"	"s-0.055312"	"s0.107249"	"s-0.172475"	"s-0.053919"	"s-0.094103"	"s0.222548"	"s0.107658"	"s0.154795"	"s0.068177"	"s0.042732"	"s-0.025355"	"s0.087873"	"s-0.150087"	"s0.02016"	"s-2.2E-5"	"s-8.87E-4"	"s0.040546"	"s-0.048848"	"s-0.069645"	"s0.041651"	"s0.047691"	"s0.090141"	"s0.100852"	"s0.09953"	"s0.061156"	"s0.101106"	"s0.128925"	"s0.066737"	"s-0.191936"	"s0.299011"	"s0.030045"	"s0.107578"	"s-0.025771"	"s-0.084203"	"s0.111941"	"s0.024641"	"s0.052177"	"s0.094771"	"s-0.06192"	"s0.049202"	"s0.143747"	"s0.001034"	"s-0.057801"	"s0.061612"	"s-0.072308"	"s-0.094182"	"s-0.047631"	"s0.005061"	"s-0.048981"	"s0.063133"	"s-0.008527"	"s-0.059368"	"s0.061586"	"s-0.043224"	"s-0.088685"	"s0.064581"	"s-0.034897"	"s0.002142"	"s-0.126629"	"s0.077072"	"s0.001084"	"s-0.11278"	"s-0.077124"	"s-0.035108"	"s-0.2103"	"s-0.082189"	"s-0.131279"	"s-0.122427"	"s-0.004782"	"s-0.070857"	"s0.17707"	"s0.17237"	"s0.053917"	"s0.0412"	"s-0.051987"	"s-0.084018"	"s-0.093122"	"s-0.02111"	"s0.084964"	"s-0.060927"	"s7.36E-4"	"s0.114752"	"s-0.09728"	"s0.044826"	"s-0.010407"	"s0.07427"	"s0.056041"	"s0.026776"	"s-0.085997"	"s0.280876"	"s-0.098097"	"s-0.09204"	"s-0.083064"	"s0.249035"	"s-0.05328"	"s0.001196"	"s-0.050387"	"s-0.088"	"s0.012551"	false
"s-0.054454"	"s-0.030914"	"s-0.107331"	"s-0.149032"	"s-0.09561"	"s-0.147564"	"s-0.079381"	"s0.034069"	"s0.10397"	"s0.054675"	"s-0.033061"	"s-0.007138"	"s-0.19436"	"s-0.046023"	"s-0.027883"	"s-0.068905"	"s0.055971"	"s0.093071"	"s-0.082792"	"s-0.101567"	"s-0.034082"	"s-0.100139"	"s-0.123102"	"s-0.085945"	"s-0.097028"	"s-0.061496"	"s4.15E-4"	"s0.042124"	"s0.09052"	"s0.022565"	"s0.01171"	"s-2.76E-4"	"s0.032818"	"s-0.121709"	"s-0.260368"	"s-0.089081"	"s0.067857"	"s0.135876"	"s0.013227"	"s-0.197355"	"s-0.152686"	"s0.024378"	"s0.080365"	"s-0.02136"	"s0.059529"	"s-0.01186"	"s-0.014958"	"s-0.003678"	"s0.02597"	"s0.221705"	"s0.305053"	"s0.291876"	"s0.333862"	"s-0.286748"	"s0.221824"	"s0.163229"	"s0.01957"	"s0.04586"	"s-0.05383"	"s-0.014461"	"s-0.006952"	"s-0.03478"	"s0.016394"	"s-0.02355"	"s-0.05814"	"s0.002671"	"s-0.074521"	"s-0.020304"	"s-0.059235"	"s-0.058131"	"s-0.009031"	"s-0.009448"	"s-0.077906"	"s-0.108022"	"s-0.074747"	"s-0.042954"	"s-0.059768"	"s-0.043964"	"s-0.062315"	"s0.001059"	"s-0.014839"	"s-0.044295"	"s-0.028872"	"s-0.044585"	"s0.010341"	"s2.0E-6"	"s-0.012159"	"s-0.033573"	"s-0.016216"	"s-0.02737"	"s-0.028596"	"s-0.004275"	"s-0.040784"	"s-9.2E-5"	"s-0.016872"	"s-0.015859"	"s-0.024603"	"s-0.025291"	"s-0.012826"	"s0.016591"	"s-2.76E-4"	"s0.027053"	"s0.139424"	false
"s-0.156444"	"s-0.199134"	"s-0.225476"	"s-0.269653"	"s-0.126214"	"s-0.127194"	"s-0.093364"	"s-0.140876"	"s-0.157346"	"s-0.176845"	"s-0.055266"	"s0.001128"	"s0.051243"	"s0.022169"	"s0.023413"	"s-0.042258"	"s-0.018867"	"s-0.13085"	"s-0.008058"	"s-0.037751"	"s-0.095859"	"s-0.152233"	"s-0.090942"	"s-0.076783"	"s-0.053138"	"s-0.00721"	"s0.048248"	"s0.072749"	"s0.103674"	"s0.217215"	"s0.277563"	"s0.250438"	"s0.086667"	"s0.048444"	"s0.07731"	"s0.01317"	"s0.01548"	"s0.016706"	"s0.11632"	"s0.079303"	"s-6.02E-4"	"s-0.071831"	"s0.026741"	"s0.040045"	"s-0.026389"	"s0.099139"	"s0.021301"	"s0.090886"	"s0.092541"	"s0.037253"	"s0.016748"	"s0.024758"	"s0.048776"	"s0.098471"	"s0.026252"	"s0.062301"	"s-0.015074"	"s-0.047585"	"s0.079633"	"s-0.056543"	"s-0.045054"	"s-0.022986"	"s0.074688"	"s0.055874"	"s0.039734"	"s-0.019627"	"s-0.021289"	"s-0.010131"	"s0.046765"	"s-0.126638"	"s-0.105449"	"s-0.053829"	"s0.106414"	"s0.125288"	"s0.145196"	"s0.148094"	"s0.119039"	"s-0.018778"	"s-0.037279"	"s0.016647"	"s0.009811"	"s-0.125412"	"s-0.106106"	"s-0.061252"	"s0.114933"	"s0.184811"	"s0.008449"	"s0.113885"	"s-0.012007"	"s0.021822"	"s-0.107417"	"s0.091243"	"s-0.11024"	"s0.083428"	"s-0.108584"	"s0.055809"	"s0.019453"	"s0.117156"	"s-0.039447"	"s-0.030947"	"s-0.118953"	"s-0.036908"	"s0.026865"	true
"s-0.110454"	"s0.001031"	"s0.001446"	"s0.10797"	"s-0.022544"	"s0.084046"	"s-0.053405"	"s0.002222"	"s-0.046573"	"s-0.038583"	"s-0.049498"	"s-0.027931"	"s-0.091097"	"s-0.018708"	"s-0.057602"	"s-0.048319"	"s-0.067344"	"s-0.05374"	"s0.082853"	"s0.023601"	"s-0.03711"	"s-0.085453"	"s-0.095227"	"s-0.056585"	"s-0.002591"	"s-0.055596"	"s-0.013859"	"s-0.047439"	"s0.028536"	"s-0.019054"	"s0.071112"	"s0.039256"	"s-0.146532"	"s-0.215255"	"s-0.230793"	"s-0.167108"	"s-0.156606"	"s-0.181707"	"s-0.11216"	"s-0.128446"	"s-0.129675"	"s0.05398"	"s0.072205"	"s0.113113"	"s0.063099"	"s0.028386"	"s0.027927"	"s-0.013708"	"s-0.018472"	"s-0.010101"	"s-0.017281"	"s8.24E-4"	"s0.008935"	"s-0.049079"	"s0.002736"	"s-0.017513"	"s-0.043422"	"s-0.029424"	"s0.113114"	"s0.341808"	"s0.147498"	"s0.143951"	"s0.13659"	"s0.123423"	"s0.030785"	"s0.082432"	"s0.096029"	"s0.071351"	"s-0.024591"	"s0.021581"	"s0.03809"	"s0.138068"	"s-0.057894"	"s0.065272"	"s-0.083985"	"s-0.033446"	"s0.035327"	"s0.010738"	"s0.01257"	"s-0.181189"	"s-0.193934"	"s0.091036"	"s0.049424"	"s0.056891"	"s0.126069"	"s0.116993"	"s0.132525"	"s0.10498"	"s0.143633"	"s0.014069"	"s0.009755"	"s-0.011591"	"s-0.185631"	"s-0.027272"	"s0.085007"	"s0.093504"	"s-0.182452"	"s-0.170092"	"s0.112104"	"s0.124972"	"s0.075422"	"s-0.158629"	"s-0.083706"	false
"s-0.046405"	"s0.013942"	"s-0.047712"	"s-0.014066"	"s-0.046091"	"s-0.027361"	"s0.065346"	"s-0.07032"	"s0.11735"	"s-0.148745"	"s0.172341"	"s-0.061037"	"s0.042631"	"s-0.088361"	"s0.121401"	"s0.189448"	"s-0.157438"	"s-0.02462"	"s0.033412"	"s-0.034767"	"s0.024428"	"s0.040951"	"s0.162602"	"s0.109653"	"s0.170161"	"s0.068173"	"s0.024279"	"s0.043653"	"s0.0862"	"s0.158245"	"s0.189068"	"s0.090756"	"s0.134733"	"s0.112479"	"s0.005017"	"s0.078892"	"s0.110323"	"s0.225781"	"s0.122579"	"s-0.020384"	"s0.08641"	"s0.061334"	"s-0.09698"	"s-0.01333"	"s0.091351"	"s-0.172175"	"s-0.045787"	"s-0.052712"	"s-0.135014"	"s-0.036632"	"s-0.083912"	"s-0.007218"	"s0.027112"	"s-0.125697"	"s-0.090634"	"s0.040851"	"s-0.024815"	"s-0.076971"	"s-0.03231"	"s-0.125422"	"s-0.002152"	"s0.265659"	"s0.014715"	"s0.115838"	"s-0.097124"	"s-0.212845"	"s0.076826"	"s-0.091877"	"s-0.065501"	"s-0.277354"	"s-0.151327"	"s-0.051139"	"s0.085181"	"s0.118899"	"s-0.096271"	"s-0.176735"	"s-0.126113"	"s-0.029357"	"s-0.029276"	"s0.120941"	"s-0.05223"	"s-0.069623"	"s-0.010931"	"s-0.083655"	"s-0.039784"	"s0.014423"	"s-0.044546"	"s-0.051749"	"s-0.043775"	"s0.015547"	"s-0.031479"	"s-0.003298"	"s-0.005221"	"s0.049701"	"s-0.050619"	"s-0.047185"	"s0.006288"	"s0.059793"	"s0.117645"	"s-0.033761"	"s-0.038074"	"s-0.019363"	"s0.102996"	true
"s-0.036868"	"s0.100721"	"s0.127483"	"s0.17953"	"s-0.039828"	"s0.152586"	"s0.009898"	"s0.081388"	"s0.071926"	"s0.047411"	"s0.080549"	"s-0.059196"	"s-0.044036"	"s0.043086"	"s0.022007"	"s0.103885"	"s0.079995"	"s0.143471"	"s-0.227979"	"s-0.051896"	"s0.122643"	"s-0.241424"	"s-0.030451"	"s0.107092"	"s0.210919"	"s0.197632"	"s0.114587"	"s0.143659"	"s0.158989"	"s0.111828"	"s0.03195"	"s0.041313"	"s-0.10155"	"s-0.168094"	"s-0.175397"	"s6.99E-4"	"s-0.192549"	"s-0.167142"	"s-0.034893"	"s0.007051"	"s-0.072782"	"s-0.209712"	"s-0.370347"	"s0.07202"	"s0.131762"	"s0.093054"	"s0.114019"	"s0.105615"	"s0.092727"	"s0.046361"	"s0.084128"	"s0.084815"	"s0.051003"	"s0.005251"	"s0.022371"	"s-0.063187"	"s0.018974"	"s0.02399"	"s-0.021739"	"s-0.044618"	"s-0.036685"	"s-0.05716"	"s-0.068755"	"s-0.065562"	"s0.110371"	"s-0.048293"	"s0.016802"	"s-0.040961"	"s-0.123962"	"s-0.096987"	"s-0.150656"	"s-0.035476"	"s0.00531"	"s0.054077"	"s0.051462"	"s0.060182"	"s-0.040934"	"s-0.00828"	"s-0.085686"	"s-0.005619"	"s-0.026227"	"s-0.013769"	"s-0.003209"	"s-0.056401"	"s-0.009609"	"s-0.007639"	"s-0.016754"	"s-0.036361"	"s-0.029244"	"s-0.032121"	"s-0.032962"	"s-0.02339"	"s-0.039072"	"s0.117595"	"s0.026306"	"s-0.022864"	"s-0.006615"	"s-0.007882"	"s-0.012375"	"s-0.038936"	"s0.017173"	"s0.013979"	"s0.111506"	false
"s-0.261276"	"s-0.113777"	"s-0.237924"	"s-0.281969"	"s-0.174663"	"s0.088132"	"s0.162083"	"s0.254055"	"s0.261876"	"s0.182381"	"s0.016661"	"s-0.008508"	"s-0.067542"	"s0.03286"	"s0.03705"	"s0.13468"	"s0.222639"	"s0.215213"	"s-0.126889"	"s-0.119085"	"s0.066076"	"s-0.152011"	"s-0.148451"	"s-0.058701"	"s0.097231"	"s0.059906"	"s0.045267"	"s0.12264"	"s0.166709"	"s0.106772"	"s0.121772"	"s0.095502"	"s0.035489"	"s-0.13433"	"s-0.228801"	"s0.010164"	"s-0.095082"	"s0.105501"	"s-0.068729"	"s-0.169535"	"s-0.095216"	"s0.053179"	"s0.083918"	"s0.06639"	"s-0.032414"	"s-0.139508"	"s-0.103326"	"s0.029217"	"s0.09645"	"s0.012868"	"s0.030026"	"s0.037729"	"s0.021275"	"s0.100079"	"s0.040583"	"s-0.00926"	"s0.022303"	"s0.0148"	"s-0.023348"	"s-0.006861"	"s-0.01729"	"s-0.03532"	"s0.067115"	"s0.064189"	"s-0.003643"	"s-0.054951"	"s-0.054854"	"s6.36E-4"	"s0.012686"	"s-0.017462"	"s-0.019523"	"s0.086279"	"s0.025279"	"s0.001593"	"s-0.047972"	"s-0.017035"	"s-0.011687"	"s-0.014376"	"s-0.030616"	"s-0.012018"	"s-0.029897"	"s0.004836"	"s-0.017805"	"s0.006073"	"s-9.78E-4"	"s-0.007305"	"s-0.018096"	"s-0.035283"	"s-0.032911"	"s0.023092"	"s-0.006487"	"s-0.027798"	"s-0.00252"	"s0.024819"	"s-0.016254"	"s-0.026506"	"s-0.023059"	"s-0.029901"	"s0.008226"	"s0.00336"	"s-0.023258"	"s0.003273"	"s0.098094"	false
"s0.101273"	"s0.046317"	"s0.009909"	"s-0.014955"	"s-0.01378"	"s0.042766"	"s-0.031082"	"s0.136905"	"s0.155674"	"s0.043931"	"s0.134148"	"s0.042974"	"s0.062032"	"s0.093657"	"s0.070748"	"s0.098323"	"s0.072941"	"s0.012723"	"s-0.076319"	"s-0.153002"	"s-0.034296"	"s0.064339"	"s0.157703"	"s0.136527"	"s0.141207"	"s0.035836"	"s-0.130264"	"s0.04535"	"s0.082579"	"s-0.123815"	"s-0.010263"	"s0.040797"	"s0.022422"	"s0.015892"	"s0.023676"	"s-0.097516"	"s-0.054719"	"s-0.024259"	"s-0.046811"	"s0.092213"	"s-0.044132"	"s-0.141025"	"s-0.004349"	"s0.052344"	"s-0.055758"	"s-0.052241"	"s-0.047153"	"s0.037327"	"s-0.059496"	"s0.178535"	"s0.165112"	"s0.169517"	"s0.151355"	"s-0.212562"	"s0.086292"	"s-0.017934"	"s-0.058932"	"s0.024772"	"s0.062676"	"s-0.080253"	"s-0.114197"	"s-0.078254"	"s-0.020371"	"s0.001129"	"s0.058117"	"s-0.134875"	"s-0.083387"	"s-0.133356"	"s0.05638"	"s-0.034968"	"s-0.031296"	"s0.007519"	"s0.075991"	"s0.018771"	"s0.00532"	"s-0.103655"	"s-0.068971"	"s-0.201148"	"s-0.185633"	"s0.056043"	"s-0.13546"	"s0.08303"	"s-0.109556"	"s0.134918"	"s-0.123583"	"s-0.144115"	"s0.163682"	"s0.084707"	"s0.114328"	"s-0.167247"	"s-0.161276"	"s0.165376"	"s-0.128225"	"s0.140915"	"s-0.040541"	"s0.093091"	"s0.06827"	"s-0.120397"	"s-0.132243"	"s0.030801"	"s0.166804"	"s-0.025087"	"s-0.01025"	true
