Mean_Acc1298_Mean_Mem40_Centroid	Mean_Acc1298_Mean_Mem40_Rolloff	Mean_Acc1298_Mean_Mem40_Flux	Mean_Acc1298_Mean_Mem40_MFCC_0	Mean_Acc1298_Mean_Mem40_MFCC_1	Mean_Acc1298_Mean_Mem40_MFCC_2	Mean_Acc1298_Mean_Mem40_MFCC_3	Mean_Acc1298_Mean_Mem40_MFCC_4	Mean_Acc1298_Mean_Mem40_MFCC_5	Mean_Acc1298_Mean_Mem40_MFCC_6	Mean_Acc1298_Mean_Mem40_MFCC_7	Mean_Acc1298_Mean_Mem40_MFCC_8	Mean_Acc1298_Mean_Mem40_MFCC_9	Mean_Acc1298_Mean_Mem40_MFCC_10	Mean_Acc1298_Mean_Mem40_MFCC_11	Mean_Acc1298_Mean_Mem40_MFCC_12	Mean_Acc1298_Std_Mem40_Centroid	Mean_Acc1298_Std_Mem40_Rolloff	Mean_Acc1298_Std_Mem40_Flux	Mean_Acc1298_Std_Mem40_MFCC_0	Mean_Acc1298_Std_Mem40_MFCC_1	Mean_Acc1298_Std_Mem40_MFCC_2	Mean_Acc1298_Std_Mem40_MFCC_3	Mean_Acc1298_Std_Mem40_MFCC_4	Mean_Acc1298_Std_Mem40_MFCC_5	Mean_Acc1298_Std_Mem40_MFCC_6	Mean_Acc1298_Std_Mem40_MFCC_7	Mean_Acc1298_Std_Mem40_MFCC_8	Mean_Acc1298_Std_Mem40_MFCC_9	Mean_Acc1298_Std_Mem40_MFCC_10	Mean_Acc1298_Std_Mem40_MFCC_11	Mean_Acc1298_Std_Mem40_MFCC_12	Std_Acc1298_Mean_Mem40_Centroid	Std_Acc1298_Mean_Mem40_Rolloff	Std_Acc1298_Mean_Mem40_Flux	Std_Acc1298_Mean_Mem40_MFCC_0	Std_Acc1298_Mean_Mem40_MFCC_1	Std_Acc1298_Mean_Mem40_MFCC_2	Std_Acc1298_Mean_Mem40_MFCC_3	Std_Acc1298_Mean_Mem40_MFCC_4	Std_Acc1298_Mean_Mem40_MFCC_5	Std_Acc1298_Mean_Mem40_MFCC_6	Std_Acc1298_Mean_Mem40_MFCC_7	Std_Acc1298_Mean_Mem40_MFCC_8	Std_Acc1298_Mean_Mem40_MFCC_9	Std_Acc1298_Mean_Mem40_MFCC_10	Std_Acc1298_Mean_Mem40_MFCC_11	Std_Acc1298_Mean_Mem40_MFCC_12	Std_Acc1298_Std_Mem40_Centroid	Std_Acc1298_Std_Mem40_Rolloff	Std_Acc1298_Std_Mem40_Flux	Std_Acc1298_Std_Mem40_MFCC_0	Std_Acc1298_Std_Mem40_MFCC_1	Std_Acc1298_Std_Mem40_MFCC_2	Std_Acc1298_Std_Mem40_MFCC_3	Std_Acc1298_Std_Mem40_MFCC_4	Std_Acc1298_Std_Mem40_MFCC_5	Std_Acc1298_Std_Mem40_MFCC_6	Std_Acc1298_Std_Mem40_MFCC_7	Std_Acc1298_Std_Mem40_MFCC_8	Std_Acc1298_Std_Mem40_MFCC_9	Std_Acc1298_Std_Mem40_MFCC_10	Std_Acc1298_Std_Mem40_MFCC_11	Std_Acc1298_Std_Mem40_MFCC_12	BH_LowPeakAmp	BH_LowPeakBPM	BH_HighPeakAmp	BH_HighPeakBPM	BH_HighLowRatio	BHSUM1	BHSUM2	BHSUM3	Class
"s0.025845"	"s0.044439"	"s0.085597"	"s-81.513137"	"s7.532216"	"s1.728323"	"s2.062261"	"s0.818468"	"s1.509704"	"s1.180482"	"s0.351759"	"s-0.13746"	"s0.410936"	"s0.547102"	"s0.527002"	"s0.543813"	"s0.013295"	"s0.038237"	"s0.034615"	"s3.940755"	"s1.51838"	"s0.774707"	"s0.681242"	"s0.540843"	"s0.49247"	"s0.457191"	"s0.456497"	"s0.504375"	"s0.494005"	"s0.466574"	"s0.401446"	"s0.407048"	"s0.015364"	"s0.036341"	"s0.007658"	"s3.509157"	"s0.975207"	"s0.749297"	"s0.447232"	"s0.319117"	"s0.221052"	"s0.204591"	"s0.182264"	"s0.254865"	"s0.255554"	"s0.208902"	"s0.194135"	"s0.174657"	"s0.02845"	"s0.069024"	"s0.029069"	"s4.585165"	"s0.43864"	"s0.224965"	"s0.205851"	"s0.134847"	"s0.116594"	"s0.097116"	"s0.092242"	"s0.08297"	"s0.092467"	"s0.076875"	"s0.073859"	"s0.071187"	"s0.04324"	"s83.0"	"s0.00448"	"s166.0"	"s2.0"	"s0.176258"	"s0.120847"	"s0.303263"	false
"s0.065648"	"s0.149858"	"s0.081819"	"s-74.834006"	"s6.943583"	"s-0.010194"	"s1.044671"	"s0.34045"	"s0.96935"	"s0.179618"	"s0.314524"	"s0.508506"	"s0.783372"	"s0.788498"	"s0.521527"	"s0.166938"	"s0.022971"	"s0.077117"	"s0.030199"	"s4.848683"	"s1.332616"	"s0.640545"	"s0.645065"	"s0.551618"	"s0.480412"	"s0.506718"	"s0.463621"	"s0.488588"	"s0.45369"	"s0.44986"	"s0.469175"	"s0.493053"	"s0.026514"	"s0.13411"	"s0.008074"	"s8.185118"	"s1.604743"	"s0.934557"	"s0.887117"	"s0.604295"	"s0.45435"	"s0.519386"	"s0.377964"	"s0.30678"	"s0.414947"	"s0.322578"	"s0.316484"	"s0.531589"	"s0.028346"	"s0.104181"	"s0.029894"	"s5.016492"	"s0.737244"	"s0.250026"	"s0.245395"	"s0.157019"	"s0.113215"	"s0.133772"	"s0.123788"	"s0.110443"	"s0.091582"	"s0.107531"	"s0.13732"	"s0.172642"	"s0.013107"	"s60.0"	"s0.0"	"s120.0"	"s2.0"	"s0.090483"	"s0.013865"	"s0.136975"	false
"s0.088138"	"s0.197506"	"s0.078841"	"s-69.900328"	"s3.437483"	"s1.928266"	"s1.268465"	"s1.05728"	"s0.999951"	"s0.300833"	"s0.464292"	"s0.105037"	"s0.306042"	"s0.470374"	"s0.374672"	"s0.772817"	"s0.052303"	"s0.150791"	"s0.030439"	"s4.86227"	"s1.317935"	"s0.941162"	"s0.575273"	"s0.557628"	"s0.48706"	"s0.532617"	"s0.493138"	"s0.524975"	"s0.567153"	"s0.527458"	"s0.518964"	"s0.553643"	"s0.030612"	"s0.06465"	"s0.008281"	"s3.927045"	"s0.740189"	"s0.662779"	"s0.477036"	"s0.337806"	"s0.189251"	"s0.285555"	"s0.390012"	"s0.296624"	"s0.260328"	"s0.227581"	"s0.34855"	"s0.387632"	"s0.031809"	"s0.051141"	"s0.02986"	"s3.854487"	"s0.472392"	"s0.228599"	"s0.125443"	"s0.121333"	"s0.134459"	"s0.131879"	"s0.153283"	"s0.147626"	"s0.267301"	"s0.225283"	"s0.231552"	"s0.244202"	"s0.044031"	"s96.0"	"s0.128552"	"s192.0"	"s2.0"	"s0.177561"	"s0.190592"	"s0.788581"	true
"s0.056327"	"s0.128398"	"s0.083605"	"s-79.023779"	"s3.755352"	"s1.18795"	"s1.845302"	"s0.381305"	"s0.949525"	"s0.305954"	"s0.789052"	"s0.36356"	"s0.745271"	"s0.448443"	"s0.528932"	"s0.370031"	"s0.036949"	"s0.124873"	"s0.035094"	"s5.062303"	"s1.283779"	"s0.850849"	"s0.632884"	"s0.547141"	"s0.506552"	"s0.49464"	"s0.46628"	"s0.526607"	"s0.472039"	"s0.473575"	"s0.455462"	"s0.44823"	"s0.030209"	"s0.069394"	"s0.008266"	"s7.739523"	"s1.734248"	"s0.81925"	"s0.641066"	"s0.506564"	"s0.483765"	"s0.416535"	"s0.375498"	"s0.44224"	"s0.38732"	"s0.240494"	"s0.406604"	"s0.51514"	"s0.02704"	"s0.070566"	"s0.029405"	"s4.082853"	"s0.463896"	"s0.265254"	"s0.181733"	"s0.142032"	"s0.123029"	"s0.129299"	"s0.129357"	"s0.181341"	"s0.112263"	"s0.149979"	"s0.115987"	"s0.137899"	"s0.229081"	"s93.0"	"s0.376374"	"s186.0"	"s2.0"	"s0.433887"	"s0.642062"	"s1.969303"	true
"s0.060739"	"s0.1293"	"s0.087986"	"s-74.969455"	"s5.062343"	"s0.580027"	"s1.731031"	"s1.385309"	"s1.168587"	"s0.455177"	"s0.539098"	"s0.341326"	"s0.517675"	"s0.421675"	"s0.169375"	"s0.352368"	"s0.048262"	"s0.147242"	"s0.038283"	"s5.912524"	"s1.360063"	"s1.148077"	"s1.084203"	"s0.909545"	"s0.768329"	"s0.634873"	"s0.617377"	"s0.611695"	"s0.561118"	"s0.535177"	"s0.548692"	"s0.489496"	"s0.021591"	"s0.056081"	"s0.008054"	"s3.238341"	"s0.87753"	"s0.939912"	"s0.593995"	"s0.581137"	"s0.478538"	"s0.384212"	"s0.260214"	"s0.292438"	"s0.273381"	"s0.283543"	"s0.291431"	"s0.34146"	"s0.032443"	"s0.088873"	"s0.028943"	"s4.459082"	"s0.362707"	"s0.330052"	"s0.287921"	"s0.286853"	"s0.19345"	"s0.173173"	"s0.138246"	"s0.129087"	"s0.109466"	"s0.117652"	"s0.108764"	"s0.118507"	"s0.170582"	"s68.0"	"s0.318896"	"s136.0"	"s2.0"	"s0.243537"	"s0.44028"	"s0.837133"	false
"s0.08743"	"s0.198217"	"s0.08378"	"s-66.814318"	"s4.156705"	"s0.139362"	"s2.162984"	"s0.194602"	"s0.601529"	"s0.745742"	"s0.553496"	"s0.479414"	"s0.189455"	"s0.820451"	"s0.268396"	"s0.561142"	"s0.058744"	"s0.148019"	"s0.032117"	"s4.470469"	"s1.184446"	"s1.063968"	"s1.198607"	"s0.984225"	"s0.641336"	"s0.62333"	"s0.673314"	"s0.598872"	"s0.60454"	"s0.564711"	"s0.494275"	"s0.471447"	"s0.025337"	"s0.050619"	"s0.008334"	"s2.471782"	"s0.7463"	"s0.664022"	"s0.650742"	"s0.328744"	"s0.202757"	"s0.268179"	"s0.224436"	"s0.260419"	"s0.19852"	"s0.262739"	"s0.203785"	"s0.182269"	"s0.025538"	"s0.055436"	"s0.030092"	"s3.807419"	"s0.323423"	"s0.371309"	"s0.30173"	"s0.229559"	"s0.133584"	"s0.144763"	"s0.133276"	"s0.124434"	"s0.133209"	"s0.092856"	"s0.083776"	"s0.081895"	"s0.027148"	"s91.0"	"s0.0"	"s182.0"	"s2.0"	"s0.034356"	"s0.052557"	"s0.086912"	false
"s0.07596"	"s0.151514"	"s0.084973"	"s-65.652655"	"s6.439446"	"s-0.219036"	"s2.457407"	"s-0.974673"	"s1.451624"	"s0.161152"	"s0.844715"	"s0.321914"	"s0.253671"	"s0.396539"	"s0.407072"	"s0.173934"	"s0.028848"	"s0.066949"	"s0.032946"	"s4.417115"	"s1.311235"	"s0.731483"	"s0.587597"	"s0.54348"	"s0.514598"	"s0.505078"	"s0.504843"	"s0.48117"	"s0.515459"	"s0.490911"	"s0.539276"	"s0.508066"	"s0.035931"	"s0.082087"	"s0.010016"	"s4.507241"	"s1.537186"	"s0.93672"	"s0.463692"	"s0.339662"	"s0.426678"	"s0.314852"	"s0.349797"	"s0.240461"	"s0.344604"	"s0.237889"	"s0.312605"	"s0.372894"	"s0.024531"	"s0.050079"	"s0.029701"	"s3.461539"	"s0.454188"	"s0.229179"	"s0.142973"	"s0.118219"	"s0.116121"	"s0.145984"	"s0.119732"	"s0.115446"	"s0.147884"	"s0.161294"	"s0.192024"	"s0.129702"	"s0.12264"	"s98.0"	"s0.131235"	"s196.0"	"s2.0"	"s0.258262"	"s0.525293"	"s1.270975"	true
"s0.062204"	"s0.406795"	"s0.090596"	"s-68.010776"	"s2.479678"	"s0.862759"	"s1.21513"	"s1.006269"	"s0.762947"	"s0.891916"	"s0.793176"	"s0.609704"	"s0.919689"	"s0.243383"	"s0.495579"	"s0.567067"	"s0.058774"	"s0.36012"	"s0.045326"	"s6.697583"	"s2.288745"	"s1.204083"	"s1.168415"	"s0.817818"	"s0.699191"	"s0.653814"	"s0.523133"	"s0.490401"	"s0.46588"	"s0.422057"	"s0.437463"	"s0.435655"	"s0.026136"	"s0.08239"	"s0.010179"	"s3.274111"	"s1.23477"	"s0.523685"	"s0.352555"	"s0.506014"	"s0.379624"	"s0.443376"	"s0.284142"	"s0.290486"	"s0.39866"	"s0.322069"	"s0.219838"	"s0.125882"	"s0.029597"	"s0.056364"	"s0.028891"	"s3.794838"	"s0.673134"	"s0.210361"	"s0.173588"	"s0.275979"	"s0.118346"	"s0.125381"	"s0.096184"	"s0.11904"	"s0.148162"	"s0.112789"	"s0.073256"	"s0.055668"	"s0.854788"	"s68.0"	"s1.012895"	"s136.0"	"s2.0"	"s0.984175"	"s1.138471"	"s2.209343"	false
"s0.083062"	"s0.165402"	"s0.078781"	"s-72.817778"	"s5.540213"	"s-0.339473"	"s1.635316"	"s-0.168666"	"s0.4405"	"s0.22359"	"s0.433255"	"s-0.06331"	"s0.06959"	"s0.590926"	"s0.398708"	"s0.456327"	"s0.023499"	"s0.055146"	"s0.028025"	"s2.959977"	"s0.801025"	"s0.547719"	"s0.512978"	"s0.51878"	"s0.494685"	"s0.519116"	"s0.509738"	"s0.520861"	"s0.502061"	"s0.501035"	"s0.483078"	"s0.491026"	"s0.015371"	"s0.041175"	"s0.007353"	"s6.521924"	"s0.99481"	"s0.280438"	"s0.246496"	"s0.479583"	"s0.380575"	"s0.60172"	"s0.299199"	"s0.360895"	"s0.399662"	"s0.410115"	"s0.313188"	"s0.396585"	"s0.025635"	"s0.053908"	"s0.030532"	"s4.077714"	"s0.395767"	"s0.114571"	"s0.099389"	"s0.084783"	"s0.093173"	"s0.10696"	"s0.087819"	"s0.12948"	"s0.100091"	"s0.109801"	"s0.115897"	"s0.119276"	"s0.20329"	"s73.0"	"s0.310942"	"s146.0"	"s2.0"	"s0.707768"	"s0.115707"	"s1.456166"	true
"s0.080528"	"s0.317089"	"s0.094164"	"s-69.288095"	"s3.446958"	"s0.934322"	"s1.799942"	"s1.010856"	"s0.424629"	"s0.658505"	"s0.221415"	"s0.228689"	"s0.465246"	"s0.479452"	"s0.511325"	"s0.387174"	"s0.071107"	"s0.309238"	"s0.039064"	"s6.679711"	"s1.79865"	"s1.327808"	"s1.158609"	"s0.890798"	"s0.762606"	"s0.721064"	"s0.629865"	"s0.616483"	"s0.589766"	"s0.575757"	"s0.562449"	"s0.53706"	"s0.040908"	"s0.094525"	"s0.0088"	"s3.136853"	"s0.949726"	"s0.526413"	"s0.705738"	"s0.357418"	"s0.27775"	"s0.246275"	"s0.264308"	"s0.268204"	"s0.278856"	"s0.193922"	"s0.210053"	"s0.22303"	"s0.034821"	"s0.071778"	"s0.029198"	"s3.781024"	"s0.457587"	"s0.323212"	"s0.284068"	"s0.209683"	"s0.12195"	"s0.144476"	"s0.131827"	"s0.136359"	"s0.098991"	"s0.11364"	"s0.105754"	"s0.082519"	"s0.050186"	"s60.0"	"s0.002496"	"s180.0"	"s3.0"	"s0.096016"	"s0.242964"	"s0.409412"	false
"s0.070396"	"s0.192404"	"s0.077355"	"s-62.608118"	"s3.293328"	"s0.676273"	"s1.497437"	"s0.47883"	"s0.791883"	"s0.322845"	"s0.539119"	"s0.163478"	"s0.399995"	"s0.651886"	"s0.225014"	"s0.10638"	"s0.040848"	"s0.117438"	"s0.027995"	"s2.097742"	"s0.708372"	"s0.579898"	"s0.486643"	"s0.437812"	"s0.456647"	"s0.450459"	"s0.40436"	"s0.392145"	"s0.404439"	"s0.401278"	"s0.379414"	"s0.393778"	"s0.021249"	"s0.050796"	"s0.00854"	"s1.325873"	"s0.35683"	"s0.286149"	"s0.16504"	"s0.139331"	"s0.206879"	"s0.123639"	"s0.123996"	"s0.137047"	"s0.113423"	"s0.126857"	"s0.177515"	"s0.187056"	"s0.031734"	"s0.052863"	"s0.030494"	"s3.932064"	"s0.228072"	"s0.24033"	"s0.139594"	"s0.103619"	"s0.086617"	"s0.072978"	"s0.068227"	"s0.062266"	"s0.048267"	"s0.056354"	"s0.061241"	"s0.059628"	"s0.056577"	"s59.0"	"s0.073465"	"s118.0"	"s2.0"	"s0.283517"	"s0.193049"	"s0.511977"	false
"s0.061193"	"s0.120232"	"s0.082624"	"s-76.425242"	"s6.394551"	"s0.127928"	"s1.608918"	"s0.351278"	"s0.809394"	"s0.321407"	"s0.375334"	"s0.360354"	"s0.301134"	"s0.366109"	"s0.47991"	"s0.332414"	"s0.022058"	"s0.059051"	"s0.028187"	"s4.155532"	"s1.042446"	"s0.525733"	"s0.536057"	"s0.489288"	"s0.481501"	"s0.485177"	"s0.495796"	"s0.496475"	"s0.514373"	"s0.49856"	"s0.498386"	"s0.465938"	"s0.014441"	"s0.0321"	"s0.007679"	"s5.956096"	"s0.722048"	"s0.27643"	"s0.361809"	"s0.209443"	"s0.196859"	"s0.171231"	"s0.264647"	"s0.325618"	"s0.346118"	"s0.316817"	"s0.286389"	"s0.229565"	"s0.025504"	"s0.053933"	"s0.030355"	"s5.014878"	"s0.383659"	"s0.089842"	"s0.106453"	"s0.088523"	"s0.070139"	"s0.08645"	"s0.084591"	"s0.083034"	"s0.131262"	"s0.112683"	"s0.098737"	"s0.078107"	"s0.070842"	"s52.0"	"s0.309233"	"s104.0"	"s2.0"	"s0.197279"	"s0.555377"	"s0.901268"	true
"s0.087765"	"s0.274206"	"s0.100123"	"s-67.646673"	"s3.609111"	"s1.433862"	"s1.644011"	"s0.726705"	"s0.536477"	"s0.593034"	"s0.519752"	"s0.588739"	"s0.340466"	"s0.266626"	"s0.626344"	"s0.33682"	"s0.08679"	"s0.284973"	"s0.04277"	"s5.76642"	"s1.832427"	"s1.158965"	"s1.0409"	"s0.93781"	"s0.695031"	"s0.686771"	"s0.694492"	"s0.649935"	"s0.639076"	"s0.557712"	"s0.663274"	"s0.603851"	"s0.02696"	"s0.068964"	"s0.006994"	"s1.849311"	"s0.644037"	"s0.466713"	"s0.523801"	"s0.467297"	"s0.309639"	"s0.403628"	"s0.358444"	"s0.353489"	"s0.244603"	"s0.301181"	"s0.372723"	"s0.331047"	"s0.031428"	"s0.041626"	"s0.028233"	"s3.616917"	"s0.307567"	"s0.186371"	"s0.218768"	"s0.236323"	"s0.126335"	"s0.122665"	"s0.103805"	"s0.12191"	"s0.125051"	"s0.102866"	"s0.107881"	"s0.102895"	"s0.248069"	"s64.0"	"s0.31704"	"s128.0"	"s2.0"	"s0.300453"	"s0.703932"	"s1.267649"	false
"s0.088839"	"s0.225054"	"s0.07584"	"s-58.104323"	"s2.874366"	"s-0.901856"	"s1.75933"	"s0.490519"	"s0.634284"	"s0.705378"	"s0.896481"	"s0.642332"	"s0.760679"	"s0.424014"	"s0.236626"	"s0.380642"	"s0.033494"	"s0.070127"	"s0.027283"	"s1.913254"	"s0.600333"	"s0.53502"	"s0.476693"	"s0.41811"	"s0.407411"	"s0.403012"	"s0.409473"	"s0.408185"	"s0.392865"	"s0.399911"	"s0.371192"	"s0.371986"	"s0.028104"	"s0.062532"	"s0.009511"	"s1.590216"	"s0.525206"	"s0.300719"	"s0.360067"	"s0.286957"	"s0.223191"	"s0.236066"	"s0.202517"	"s0.228181"	"s0.151486"	"s0.175595"	"s0.233227"	"s0.20432"	"s0.025109"	"s0.053439"	"s0.030871"	"s3.782656"	"s0.295276"	"s0.19634"	"s0.132049"	"s0.121591"	"s0.064389"	"s0.065687"	"s0.066034"	"s0.065126"	"s0.08329"	"s0.080154"	"s0.063861"	"s0.059652"	"s0.016655"	"s52.0"	"s0.019532"	"s156.0"	"s3.0"	"s0.097802"	"s0.016407"	"s0.152534"	false
"s0.069253"	"s0.119054"	"s0.080029"	"s-90.497841"	"s7.643956"	"s-1.0054"	"s1.878956"	"s-0.058011"	"s0.633001"	"s0.534665"	"s0.732778"	"s0.149892"	"s0.212841"	"s0.177396"	"s0.338826"	"s0.482916"	"s0.019797"	"s0.045531"	"s0.028986"	"s3.747727"	"s0.964631"	"s0.580398"	"s0.568005"	"s0.521645"	"s0.515303"	"s0.495106"	"s0.564141"	"s0.580286"	"s0.576808"	"s0.574617"	"s0.526804"	"s0.51686"	"s0.019346"	"s0.039514"	"s0.007767"	"s6.148415"	"s1.287833"	"s0.924141"	"s0.881956"	"s0.491527"	"s0.507412"	"s0.40242"	"s0.356736"	"s0.430538"	"s0.491168"	"s0.504619"	"s0.403392"	"s0.449055"	"s0.024162"	"s0.050679"	"s0.03064"	"s4.937768"	"s0.449031"	"s0.139478"	"s0.13907"	"s0.103918"	"s0.10852"	"s0.096795"	"s0.116277"	"s0.127312"	"s0.172938"	"s0.136158"	"s0.157737"	"s0.116556"	"s0.029769"	"s59.0"	"s0.031434"	"s118.0"	"s2.0"	"s0.189411"	"s0.216223"	"s0.458161"	true
"s0.107099"	"s0.28064"	"s0.078306"	"s-61.925089"	"s2.976223"	"s0.331022"	"s2.078355"	"s0.347609"	"s0.818205"	"s0.626897"	"s0.484188"	"s0.469591"	"s0.560671"	"s0.630376"	"s0.442181"	"s0.453978"	"s0.047844"	"s0.126032"	"s0.028642"	"s2.246106"	"s0.860667"	"s0.703315"	"s0.671189"	"s0.55159"	"s0.481168"	"s0.449305"	"s0.455958"	"s0.434443"	"s0.439804"	"s0.425348"	"s0.43827"	"s0.423549"	"s0.025208"	"s0.057946"	"s0.007385"	"s2.047695"	"s0.836565"	"s0.345035"	"s0.1949"	"s0.248049"	"s0.135831"	"s0.198742"	"s0.205311"	"s0.149131"	"s0.142473"	"s0.146997"	"s0.128659"	"s0.169636"	"s0.023426"	"s0.054068"	"s0.030571"	"s5.00349"	"s0.423976"	"s0.172876"	"s0.18898"	"s0.15566"	"s0.069571"	"s0.061544"	"s0.080164"	"s0.065089"	"s0.055723"	"s0.062686"	"s0.074664"	"s0.080115"	"s0.124569"	"s68.0"	"s0.155643"	"s136.0"	"s2.0"	"s0.246001"	"s0.367362"	"s0.641715"	false
"s0.067249"	"s0.131106"	"s0.090906"	"s-70.952777"	"s5.744316"	"s-0.734808"	"s2.660737"	"s0.201494"	"s1.611879"	"s0.462286"	"s0.601458"	"s0.440371"	"s0.484533"	"s0.498538"	"s0.632537"	"s0.54049"	"s0.052845"	"s0.11281"	"s0.039041"	"s6.59408"	"s1.864148"	"s1.445441"	"s0.922879"	"s0.778046"	"s0.725775"	"s0.598032"	"s0.641078"	"s0.557015"	"s0.552506"	"s0.568412"	"s0.546638"	"s0.452438"	"s0.022172"	"s0.048417"	"s0.007475"	"s2.749834"	"s0.872434"	"s0.850931"	"s0.510073"	"s0.33"	"s0.28431"	"s0.280475"	"s0.241486"	"s0.235671"	"s0.218118"	"s0.225492"	"s0.206952"	"s0.20857"	"s0.027307"	"s0.050171"	"s0.028839"	"s3.492369"	"s0.393638"	"s0.301003"	"s0.246944"	"s0.156911"	"s0.147785"	"s0.111852"	"s0.112461"	"s0.093297"	"s0.082479"	"s0.136698"	"s0.115729"	"s0.077668"	"s0.03432"	"s69.0"	"s0.238511"	"s138.0"	"s2.0"	"s0.254141"	"s0.52625"	"s0.804229"	false
"s0.095184"	"s0.21719"	"s0.088659"	"s-72.685864"	"s2.899518"	"s0.335787"	"s1.822076"	"s0.685562"	"s1.306855"	"s0.85598"	"s0.639625"	"s0.448057"	"s0.677366"	"s0.367113"	"s0.714128"	"s0.54465"	"s0.065406"	"s0.153377"	"s0.037101"	"s5.828348"	"s1.604587"	"s1.239596"	"s1.08318"	"s0.769424"	"s0.712683"	"s0.646344"	"s0.603189"	"s0.55027"	"s0.496149"	"s0.521631"	"s0.523693"	"s0.523313"	"s0.02944"	"s0.053494"	"s0.008738"	"s3.901735"	"s0.597727"	"s0.667267"	"s0.698556"	"s0.408507"	"s0.390272"	"s0.304414"	"s0.407793"	"s0.328669"	"s0.235108"	"s0.330689"	"s0.32238"	"s0.304919"	"s0.027687"	"s0.065541"	"s0.029456"	"s3.996034"	"s0.344037"	"s0.268851"	"s0.231411"	"s0.207053"	"s0.140076"	"s0.129548"	"s0.124097"	"s0.121253"	"s0.084632"	"s0.108659"	"s0.103059"	"s0.163966"	"s0.097512"	"s79.0"	"s0.002987"	"s158.0"	"s2.0"	"s0.308555"	"s0.138496"	"s0.482288"	false
"s0.088787"	"s0.215714"	"s0.079709"	"s-59.848304"	"s4.20595"	"s-0.425835"	"s1.963631"	"s0.373195"	"s0.647817"	"s0.654278"	"s0.386228"	"s0.563532"	"s0.453586"	"s0.54406"	"s0.219699"	"s0.431823"	"s0.039858"	"s0.105705"	"s0.030554"	"s2.326055"	"s0.967843"	"s0.791002"	"s0.690953"	"s0.587786"	"s0.471201"	"s0.48956"	"s0.479358"	"s0.435101"	"s0.477638"	"s0.424227"	"s0.392202"	"s0.393386"	"s0.022654"	"s0.051024"	"s0.007803"	"s3.784107"	"s0.71644"	"s0.560258"	"s0.443119"	"s0.515966"	"s0.192613"	"s0.224382"	"s0.361104"	"s0.302185"	"s0.220837"	"s0.184565"	"s0.182713"	"s0.170204"	"s0.025991"	"s0.058444"	"s0.030317"	"s3.961885"	"s0.42906"	"s0.371374"	"s0.228562"	"s0.18405"	"s0.106672"	"s0.104061"	"s0.088304"	"s0.071451"	"s0.099522"	"s0.071788"	"s0.071536"	"s0.072918"	"s0.257491"	"s71.0"	"s0.0"	"s142.0"	"s2.0"	"s0.363664"	"s0.239097"	"s0.732217"	false
"s0.069188"	"s0.141212"	"s0.080482"	"s-81.890632"	"s5.922588"	"s0.059111"	"s1.733528"	"s0.387359"	"s0.703545"	"s0.276511"	"s0.196735"	"s0.234438"	"s0.471712"	"s0.790521"	"s0.826159"	"s0.46091"	"s0.027314"	"s0.072242"	"s0.028452"	"s3.917048"	"s1.051344"	"s0.592016"	"s0.573538"	"s0.535257"	"s0.510876"	"s0.51274"	"s0.546532"	"s0.535384"	"s0.582389"	"s0.556223"	"s0.501487"	"s0.517648"	"s0.026123"	"s0.053368"	"s0.007066"	"s11.86664"	"s1.349439"	"s0.537414"	"s0.525924"	"s0.455092"	"s0.294832"	"s0.339962"	"s0.360962"	"s0.287342"	"s0.686079"	"s0.752832"	"s0.318054"	"s0.369442"	"s0.023749"	"s0.059866"	"s0.030607"	"s5.611618"	"s0.384794"	"s0.234278"	"s0.127568"	"s0.125496"	"s0.082241"	"s0.084139"	"s0.094192"	"s0.106986"	"s0.185253"	"s0.184039"	"s0.123219"	"s0.108024"	"s0.065947"	"s78.0"	"s0.129751"	"s156.0"	"s2.0"	"s0.400041"	"s0.192604"	"s1.029436"	true
"s0.060222"	"s0.116507"	"s0.082673"	"s-84.036649"	"s7.405555"	"s-0.374233"	"s2.182249"	"s0.185505"	"s0.236462"	"s0.664883"	"s0.481443"	"s-0.259392"	"s0.780738"	"s0.370044"	"s0.71728"	"s0.240632"	"s0.021688"	"s0.059653"	"s0.030551"	"s3.563936"	"s1.05358"	"s0.793174"	"s0.677939"	"s0.856047"	"s0.545917"	"s0.593906"	"s0.63434"	"s0.697306"	"s0.672133"	"s0.624222"	"s0.630495"	"s0.553096"	"s0.01741"	"s0.03946"	"s0.007215"	"s6.522618"	"s0.713703"	"s0.875833"	"s0.76465"	"s1.025277"	"s0.557243"	"s0.585119"	"s0.552262"	"s0.596021"	"s0.480703"	"s0.629667"	"s0.337251"	"s0.349813"	"s0.02596"	"s0.054143"	"s0.030022"	"s4.984076"	"s0.458144"	"s0.367873"	"s0.171423"	"s0.279726"	"s0.115814"	"s0.146401"	"s0.176019"	"s0.21916"	"s0.223807"	"s0.216433"	"s0.182148"	"s0.167442"	"s0.035972"	"s70.0"	"s0.02753"	"s140.0"	"s2.0"	"s0.245924"	"s0.228186"	"s0.516097"	false
